stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
189,MAIPUTN,Main St @ Opp Putnam Plaza,41.729218,-72.618252,,,,,,0
190,REVSAVN,Weston St @ opp Savitt Way,41.782418,-72.665666,,,,,,0
191,MECRRSN,Mechanic St @ opp R R Station,41.851547,-72.641757,,,,,,0
194,KENSTON,Kennedy Rd @ opp Stop & Shop,41.893328,-72.650044,,,,,,0
195,KENSTOS,Kennedy Rd @ Stop & Shop,41.892925,-72.650094,,,,,,0
198,BRATERN,Bradley Int'l Airport @ Terminal A,41.929779,-72.68541,,,,,,0
200,WINSKIN,Windsor Ave @ Skitchewaug St,41.813081,-72.657073,,,,,,0
201,COM76E,Commerce St @ 76 Commerce St,41.709647,-72.588205,,,,,,0
203,HANWOOS,Handel Rd @ opp Woodycrest Dr,41.739433,-72.618536,,,,,,0
204,HANEVAN,Handel Rd @ opp Evans Ave 2,41.737396,-72.618421,,,,,,0
205,MAIMAPLN,Main St @ Maple St,41.732543,-72.624333,,,,,,0
206,MAIBROS,Main St @ Broad St,41.73249,-72.624587,,,,,,0
209,PUTMAIN,Putnam Bridge Park & Ride @ Main St,41.726219,-72.615464,,,,,,0
210,MA2963S,Main St @ 2963 Main St,41.723779,-72.615156,,,,,,0
213,MAIRANN,Main St @ Rankin Rd,41.711658,-72.60822,,,,,,0
216,COMOAKE,Commerce St @ Oak St,41.709233,-72.591342,,,,,,0
217,GLAHIGW,Hubbard St @ Rockhaven Dr,41.702615,-72.593494,,,,,,0
218,COUOAKE,Country Ln @ Oak St,41.73704,-72.574669,,,,,,0
219,COMOAKW,Commerce St @ Oak St,41.709332,-72.591777,,,,,,0
229,GREELIN,Greenwood Ave @ Elizabeth Ave,41.810108,-72.689859,,,,,,0
230,NEWNEWBN,Newington Rd @ New Britain Ave,41.73122,-72.730821,,,,,,0
231,RET99S,Retreat Ave @ 99 Retreat Ave,41.753263,-72.679142,,,,,,0
232,RET100N,Retreat Ave @ 100 Retreat Ave,41.7537,-72.678185,,,,,,0
233,NEWHILE,New Britain Ave @ Hillside Ave,41.739483,-72.697071,,,,,,0
234,NEWNEWW,New Britain Ave @ opp Newington Rd,41.732059,-72.730166,,,,,,0
235,NEWNEWE,New Britain Ave @ Newington Rd,41.731791,-72.729851,,,,,,0
239,ALBBLUW,Albany Ave @ Blue Hills Ave,41.78283,-72.697814,,,,,,0
241,MAROLGN,Mark Twain Dr @ Ogilby Dr 1,41.788891,-72.708649,,,,,,0
242,MAROLGS,Mark Twain Dr @ Opp Ogilby Dr 2,41.788417,-72.708565,,,,,,0
243,BURGRAE,Burnham St @ Granby St,41.804825,-72.706779,,,,,,0
244,GRABURS,Granby St @ Opp Burnham St,41.804629,-72.707422,,,,,,0
245,GARRISN,Garden St @ Risley St,41.79258,-72.680465,,,,,,0
247,BURCOPE,Burlington Coat @ Copaco,41.816288,-72.712166,,,,,,0
249,GARALBN,Garden St @ Albany Ave,41.778178,-72.685318,,,,,,0
250,GARALBS,Garden St @ Albany Ave,41.778277,-72.685536,,,,,,0
251,WOLJORS,Wolcott Hill Rd @ Jordan Ln,41.723245,-72.673104,,,,,,0
252,WOLJORN,Wolcott Hill Rd @ Jordan Ln,41.723701,-72.672897,,,,,,0
254,WOLPROS,Wolcott Hill Rd @ Prospect St,41.694498,-72.667588,,,,,,0
255,WOLPRON,Wolcott Hill Rd @ Prospect St,41.694828,-72.66743,,,,,,0
256,GILTUMS,Gilbert Ave @ Tumble Brook Rd,41.667275,-72.666138,,,,,,0
257,KITBOBN,Kitts Ln @ Stop & Shop,41.682193,-72.70929,,,,,,0
258,PASBERW,Pascone Pl @ Berlin Tpke,41.666492,-72.72024,,,,,,0
259,CONDOTN,CTDOT @ opp Main Entrance,41.673215,-72.713769,,,,,,0
260,PLAWDIS,Plainville Ave @ W District Rd,41.745666,-72.888174,,,,,,0
261,PLALAKS,Plainville Ave @ Lake Garda Dr,41.739329,-72.891305,,,,,,0
263,PLAMORS,Plainville Ave @ Morea Rd,41.719197,-72.88343,,,,,,0
264,PLACOPS,Plainville Ave @ Cope Farms Rd,41.715757,-72.882011,,,,,,0
269,FARRAYE,Farmington Ave @ Raymond Rd,41.762515,-72.7395,,,,,,0
270,FARARNOE,Farmington Ave @ Opp Arnold Way,41.763058,-72.737149,,,,,,0
271,FAROUTE,Farmington Ave @ Outlook Ave,41.763397,-72.735356,,,,,,0
272,FARARDE,Farmington Ave @ Ardmore Rd,41.763913,-72.732678,,,,,,0
273,FARLANE,Farmington Ave @ Lancaster Rd,41.764332,-72.730448,,,,,,0
274,FARQUAE,Farmington Ave @ Quaker Ln S,41.764625,-72.728776,,,,,,0
275,FARWAKE,Farmington Ave @ Walkley Rd,41.764793,-72.726546,,,,,,0
276,FARWHIE,Farmington Ave @ Whiting Ln,41.764953,-72.724669,,,,,,0
277,FARARNE,Farmington Ave @ Arnoldale Rd,41.765085,-72.723021,,,,,,0
278,FARLEXE,Farmington Ave @ Lexington Rd,41.765235,-72.72038,,,,,,0
